DATE.ADDED.TO.CATALOG	PUBMEDID	FIRST.AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE.TRAIT	INITIAL.SAMPLE.SIZE	REPLICATION.SAMPLE.SIZE	PLATFORM..SNPS.PASSING.QC.	ASSOCIATION.COUNT	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY.ACCESSION	GENOTYPING.TECHNOLOGY
2012-05-25	22484627	Bradfield JP	2012-04-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22484627	A genome-wide association meta-analysis identifies new childhood  obesity loci.	Obesity	5,530 European ancestry cases, 8,318 European ancestry controls	2,214 European ancestry cases, 2,674 European ancestry controls	Affymetrix, Illumina [2700000] (imputed)	5	obesity	http://www.ebi.ac.uk/efo/EFO_0001073	GCST001475	Genome-wide genotyping array
2013-03-15	23263486	Kottgen A	2012-12-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23263486	Genome-wide association analyses identify 18 new loci associated with serum urate concentrations.	Gout	2,115 European ancestry cases, 67,259 European ancestry controls	1,036 European ancestry cases	Affymetrix, Illumina [2538056] (imputed)	6	gout	http://www.ebi.ac.uk/efo/EFO_0004274	GCST001790	Genome-wide genotyping array
2013-03-15	23263486	Kottgen A	2012-12-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23263486	Genome-wide association analyses identify 18 new loci associated with serum urate concentrations.	Urate levels	49,825 European ancestry males, 60,522 European ancestry females	Up to 32,813 European ancestry individuals	Affymetrix, Illumina, Perlegen [2450547] (imputed)	47	urate measurement	http://www.ebi.ac.uk/efo/EFO_0004531	GCST001791	Genome-wide genotyping array
2013-08-20	23583979	den Hoed M	2013-04-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583979	Identification of heart rate-associated loci and their effects on cardiac conduction and rhythm disorders.	Heart rate	85,787 European ancestry individuals, 6,568 Indian Asian ancestry indiviudals	88,823 European ancestry individuals	Affymetrix, Illumina [2516789] (imputed)	32	heart rate	http://www.ebi.ac.uk/efo/EFO_0004326	GCST001969	Genome-wide genotyping array
2014-05-12	24097068	Willer CJ	2013-10-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24097068	Discovery and refinement of loci associated with lipid levels.	Triglycerides	94,595 European ancestry individuals	93,982 European ancestry individuals	NR [NR] (imputed)	40	triglyceride measurement	http://www.ebi.ac.uk/efo/EFO_0004530	GCST002216	Genome-wide genotyping array
2014-05-12	24097068	Willer CJ	2013-10-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24097068	Discovery and refinement of loci associated with lipid levels.	Cholesterol, total	94,595 European ancestry individuals	93,982 European ancestry individuals	NR [NR] (imputed)	73	total cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004574	GCST002221	Genome-wide genotyping array
2014-05-12	24097068	Willer CJ	2013-10-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24097068	Discovery and refinement of loci associated with lipid levels.	LDL cholesterol	94,595 European ancestry individuals	93,982 European ancestry individuals	NR [NR] (imputed)	58	low density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004611	GCST002222	Genome-wide genotyping array
2014-05-12	24097068	Willer CJ	2013-10-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24097068	Discovery and refinement of loci associated with lipid levels.	HDL cholesterol	94,595 European ancestry individuals	93,982 European ancestry individuals	NR [NR] (imputed)	71	high density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004612	GCST002223	Genome-wide genotyping array
2014-04-16	24162737	Lambert JC	2013-10-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24162737	Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease.	Alzheimer's disease (late onset)	17,008 European ancestry cases, 37,154 European ancestry controls	8,572 European ancestry cases, 11,312 European ancestry controls	Illumina [7055881] (imputed)	33			GCST002245	Genome-wide genotyping array
2016-01-27	25673413	Locke AE	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673413	Genetic studies of body mass index yield new insights for obesity biology.	Body mass index	up to 104,666 European ancestry male individuals, up to 132,115 European ancestry female individuals, 370 African American male individuals, 517 African American female individuals, 512 Hispanic male individuals, 764 Hispanic female individuals	up to 48,274 European ancestry male individuals, up to 39,864 European ancestry female individuals, 2,441 African American or Afro-Caribbean male individuals, 6,314 African American or Afro-Caribbean female individuals, 919 Filipino male individuals, 828 Filipino female individuals, 205 Seychellois male individuals, 287 Seychellois female individuals, 2,964 South Asian ancestry male individuals, 658 South Asian ancestry female individuals	Affymetrix, Illumina [2550021]	634	body mass index	http://www.ebi.ac.uk/efo/EFO_0004340	GCST002783	Genome-wide genotyping array
2016-07-06	25993607	de Moor MH	2015-05-20	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/25993607	Meta-analysis of Genome-wide Association Studies for Neuroticism, and the Polygenic Association With Major Depressive Disorder.	Neuroticism	Up to 627 Cilento (founder/genetic isolate) individuals, up to 2,296 Erasmus Rucphen (founder/genetic isolate) individuals, up to 1,650 Orcadian (founder/genetic isolate) individuals, up to 909 Vis (founder/genetic isolate) individuals, up to 58,179 European ancestry individuals	Up to 9,786 European ancestry individuals	Affymetrix, Illumina, Perlegen [6949614] (imputed)	12	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST002920	Genome-wide genotyping array
2016-07-24	26192919	Liu JZ	2015-07-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26192919	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	Inflammatory bowel disease	12,882 European ancestry cases, 21,770 European ancestry controls	25,273 European ancestry cases, 26,715 European ancestry controls, 548 Iranian ancestry cases, 342 Iranian ancestry control, 1,423 Indian ancestry cases, 990 Indian ancestry controls, 2,824 East Asian ancestry cases, 3,719 East Asian ancestry controls	Affymetrix, Illumina [~ 9000000] (imputed)	202	inflammatory bowel disease	http://www.ebi.ac.uk/efo/EFO_0003767	GCST003043	Genome-wide genotyping array
2016-07-24	26192919	Liu JZ	2015-07-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26192919	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	Crohn's disease	5,956 European ancestry cases, 14,927 European ancestry controls	14,594 European ancestry cases, 26,715 European ancestry controls, 151 Iranian ancestry cases, 342 Iranian ancestry controls, 184 Indian ancestry cases, 990 Indian ancestry controls, 1,690 East Asian ancestry cases, 3,719 East Asian ancestry controls	Affymetrix, Illumina [~ 9000000] (imputed)	165	Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0000384	GCST003044	Genome-wide genotyping array
2016-07-24	26192919	Liu JZ	2015-07-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26192919	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	Ulcerative colitis	6,968 European ancestry cases, 20,464 European ancestry controls	10,679 European ancestry cases, 26,715 European ancestry controls, 397 Iranian ancestry cases, 342 Iranian ancestry controls, 1,239 Indian ancestry cases, 990 Indian ancestry controls, 1,134 East Asian ancestry cases, 3,719 East Asian ancestry controls	Affymetrix, Illumina [~ 9000000] (imputed)	134	ulcerative colitis	http://www.ebi.ac.uk/efo/EFO_0000729	GCST003045	Genome-wide genotyping array
2016-09-12	26343387	Nikpay M	2015-09-07	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26343387	A comprehensive 1,000 Genomes-based genome-wide association meta-analysis of coronary artery disease.	Coronary artery disease	42,096 European ancestry cases, 361 African American cases, 758 Hispanic American cases, 12,658 South Asian ancestry cases, 1,802 Lebanese ancestry cases, 3,614 East Asian ancestry cases, 99,121 European ancestry controls, 2,778 African American controls, 3,337 Hispanic American controls, 12,899 South Asian ancestry controls, 466 Lebanese ancestry controls, 7,709 East Asian ancestry controls	NA	Affymetrix, Illumina [8600000] (imputed)	45	coronary artery disease	http://www.ebi.ac.uk/efo/EFO_0001645	GCST003116	Genome-wide genotyping array
2016-11-25	26833098	Kilpelainen TO	2016-02-01	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26833098	Genome-wide meta-analysis uncovers novel loci influencing circulating leptin levels.	circulating leptin levels adjusted for BMI	up to 14,094 European ancestry men, up to 19,893 European ancestry women	up to 9,076 European ancestry men, up to 9,150 European ancestry women	Affymetrix, Illumina [~ 2500000] (imputed)	9	BMI-adjusted leptin measurement	http://www.ebi.ac.uk/efo/EFO_0007793	GCST003368	Genome-wide genotyping array
2016-11-25	26831199	Pattaro C	2016-01-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26831199	Genetic associations at 53 loci highlight cell types and biological pathways relevant for kidney function.	Glomerular filtration rate (creatinine)	133,413 European ancestry individuals	42,166 European ancestry individuals, up to 16,471 African ancestry individuals, up to 42,296 Asian ancestry individuals	Affymetrix, Illumina [~ 2500000] (imputed)	63	creatinine measurement, glomerular filtration rate	http://www.ebi.ac.uk/efo/EFO_0004518, http://www.ebi.ac.uk/efo/EFO_0005208	GCST003372	Genome-wide genotyping array
2016-11-25	26831199	Pattaro C	2016-01-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26831199	Genetic associations at 53 loci highlight cell types and biological pathways relevant for kidney function.	Chronic kidney disease	12,385 European ancestry cases, 104,780 European ancestry controls	33,972 European ancestry individuals	Affymetrix, Illumina [~ 2500000] (imputed)	10	chronic kidney disease	http://www.ebi.ac.uk/efo/EFO_0003884	GCST003374	Genome-wide genotyping array
2016-11-25	26831199	Pattaro C	2016-01-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26831199	Genetic associations at 53 loci highlight cell types and biological pathways relevant for kidney function.	Glomerular filtration rate (cystatin C)	32,834 European ancestry individuals	14,930 European ancestry individuals	Affymetrix, Illumina [~ 2500000] (imputed)	1	glomerular filtration rate, cystatin C measurement	http://www.ebi.ac.uk/efo/EFO_0005208, http://www.ebi.ac.uk/efo/EFO_0004617	GCST003375	Genome-wide genotyping array
2016-12-01	26831199	Pattaro C	2016-01-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26831199	Genetic associations at 53 loci highlight cell types and biological pathways relevant for kidney function.	Glomerular filtration rate in non diabetics (creatinine)	118,448 European ancestry individuals	36,433 European ancestry individuals	Affymetrix, Illumina [~ 2500000] (imputed)	37	creatinine measurement, glomerular filtration rate	http://www.ebi.ac.uk/efo/EFO_0004518, http://www.ebi.ac.uk/efo/EFO_0005208	GCST003401	Genome-wide genotyping array
2016-12-08	26833246	Lu Y	2016-02-01	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26833246	New loci for body fat percentage reveal link between adiposity and cardiometabolic disease risk.	Body fat percentage	Up to 31,457 European ancestry men, up to 35,030 European ancestry women, up to 8,259 Indian Asian ancestry men, up to 1,030 Indian Asian ancestry women, 973 Korean ancestry men, 1,360 Korean ancestry women, 154 African American men, 262 African American women	Up to 12,480 European ancestry men, up to 10,055 European ancestry women, 315 Jamaican ancestry men, 774 Jamaican ancestry women	Affymetrix, Illumina, Perlegen [at least 1958375] (imputed)	47	body fat percentage	http://www.ebi.ac.uk/efo/EFO_0007800	GCST003435	Genome-wide genotyping array
2017-02-24	27416945	Walford GA	2016-07-14	Diabetes	www.ncbi.nlm.nih.gov/pubmed/27416945	Genome-Wide Association Study of the Modified Stumvoll Insulin Sensitivity Index Identifies BCL2 and FAM19A2 as Novel Insulin Sensitivity Loci.	Modified Stumvoll Insulin Sensitivity Index (model adjusted for BMI)	16,753 European ancestry individuals	13,354 European ancestry individuals	Affymetrix, Illumina [up to 2400000] (imputed)	4	insulin sensitivity measurement, body mass index	http://www.ebi.ac.uk/efo/EFO_0004471, http://www.ebi.ac.uk/efo/EFO_0004340	GCST003658	Genome-wide genotyping array
2017-02-24	27416945	Walford GA	2016-07-14	Diabetes	www.ncbi.nlm.nih.gov/pubmed/27416945	Genome-Wide Association Study of the Modified Stumvoll Insulin Sensitivity Index Identifies BCL2 and FAM19A2 as Novel Insulin Sensitivity Loci.	Modified Stumvoll Insulin Sensitivity Index (BMI interaction)	16,753 European ancestry individuals	13,354 European ancestry individuals	Affymetrix, Illumina [up to 2400000] (imputed)	12	insulin sensitivity measurement, body mass index	http://www.ebi.ac.uk/efo/EFO_0004471, http://www.ebi.ac.uk/efo/EFO_0004340	GCST003659	Genome-wide genotyping array
2017-03-10	27329760	Hou L	2016-06-21	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/27329760	Genome-wide association study of 40,000 individuals identifies two novel loci associated with bipolar disorder.	Bipolar disorder	7,647 European ancestry cases, 27,303 European ancestry controls	2,137 European ancestry cases, 3,168 European ancestry controls	Affymetrix, Illumina [9692718] (imputed)	6	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	GCST003724	Genome-wide genotyping array
2017-03-17	27089181	Okbay A	2016-04-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27089181	Genetic variants associated with subjective well-being, depressive symptoms, and neuroticism identified through genome-wide analyses.	Subjective well-being	298,420 Korculan (founder/genetic isolate), Split (founder/genetic isolate), Vis (founder/genetic isolate), Erasmus Rucphen (founder/genetic isolate) and other European ancestry individuals	NA	Affymetrix, Illumina, Perlegen [at least 5170349] (imputed)	113	wellbeing measurement	http://www.ebi.ac.uk/efo/EFO_0007869	GCST003766	Genome-wide genotyping array
2017-03-17	27089181	Okbay A	2016-04-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27089181	Genetic variants associated with subjective well-being, depressive symptoms, and neuroticism identified through genome-wide analyses.	Depression	105,739 European ancestry individuals, 16,471 European ancestry major depressive disorder cases, 58,835 European ancestry controls	368,890 European ancestry individuals	Affymetrix [up to 6544862] (imputed)	15	unipolar depression, depressive symptom measurement	http://www.ebi.ac.uk/efo/EFO_0003761, http://www.ebi.ac.uk/efo/EFO_0007006	GCST003769	Genome-wide genotyping array
2017-03-17	27089181	Okbay A	2016-04-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27089181	Genetic variants associated with subjective well-being, depressive symptoms, and neuroticism identified through genome-wide analyses.	Neuroticism	170,911 European ancestry individuals	NA	Affymetrix [up to 6544775] (imputed)	114	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST003770	Genome-wide genotyping array
2017-05-24	28073927	Springelkamp H	2017-01-10	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/28073927	New insights into the genetics of primary open-angle glaucoma based on meta-analyses of intraocular pressure and optic disc characteristics.	Intraocular pressure	25,916 European ancestry individuals, 1,073 Orcadian (founder/genetic isolate) individuals, 2,589 Erasmus Rucphen (founder/genetic isolate) individuals	8,352 Asian ancestry individuals	Affymetrix, Illumina [~ 8000000] (imputed)	17	intraocular pressure measurement	http://www.ebi.ac.uk/efo/EFO_0004695	GCST004074	Genome-wide genotyping array
2017-05-24	28073927	Springelkamp H	2017-01-10	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/28073927	New insights into the genetics of primary open-angle glaucoma based on meta-analyses of intraocular pressure and optic disc characteristics.	Vertical cup-disc ratio	21,768 European ancestry individuals, 2,131 Erasmus Rucphen (founder/genetic isolate) individuals	8,168 Asian ancestry individuals	Affymetrix, Illumina [~ 8000000] (imputed)	46	cup-to-disc ratio measurement	http://www.ebi.ac.uk/efo/EFO_0006939	GCST004075	Genome-wide genotyping array
2017-05-24	28073927	Springelkamp H	2017-01-10	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/28073927	New insights into the genetics of primary open-angle glaucoma based on meta-analyses of intraocular pressure and optic disc characteristics.	Optic disc area	20,373 European ancestry individuals, 2,131 Erasmus Rucphen (founder/genetic isolate) individuals	7,302 Asian ancestry individuals	Affymetrix, Illumina [~ 8000000] (imputed)	32	optic disc area measurement	http://www.ebi.ac.uk/efo/EFO_0006937	GCST004076	Genome-wide genotyping array
2017-06-02	28073927	Springelkamp H	2017-01-10	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/28073927	New insights into the genetics of primary open-angle glaucoma based on meta-analyses of intraocular pressure and optic disc characteristics.	Optic cup area	20,353 European ancestry individuals, 2,131 Erasmus Rucphen (founder/genetic isolate) individuals	7,333 Asian ancestry individuals	Affymetrix, Illumina [~ 8000000] (imputed)	47	optic cup area measurement	http://www.ebi.ac.uk/efo/EFO_0006940	GCST004137	Genome-wide genotyping array
2017-07-10	28416818	Christophersen IE	2017-04-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28416818	Large-scale analyses of common and rare variants identify 12 new loci associated with atrial fibrillation.	Atrial fibrillation	15,979 European ancestry cases, 102,776 European ancestry controls, 641 African American cases, 5,234 African American controls, 837 Japanese ancestry cases, 3,293 Japanese controls, 277 Hispanic cases, 3,081 Hispanic controls,197 Brazilian ancestry cases, 758 Brazilian ancestry controls.	3,666 cases, 139,852 controls	Affymetrix, Illumina [11795432] (imputed)	8	atrial fibrillation	http://www.ebi.ac.uk/efo/EFO_0000275	GCST004296	Genome-wide genotyping array
2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Mean platelet volume	164,454 European ancestry individuals	NA	Affymetrix [~ 2500000] (imputed)	294	mean platelet volume	http://www.ebi.ac.uk/efo/EFO_0004584	GCST004599	Genome-wide genotyping array
2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Eosinophil percentage of white cells	172,378 European ancestry individuals	NA	Affymetrix [~ 2500000] (imputed)	198	eosinophil percentage of leukocytes	http://www.ebi.ac.uk/efo/EFO_0007991	GCST004600	Genome-wide genotyping array
2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Mean corpuscular volume	172,433 European ancestry individuals	NA	Affymetrix [~ 2500000] (imputed)	306	mean corpuscular volume	http://www.ebi.ac.uk/efo/EFO_0004526	GCST004602	Genome-wide genotyping array
2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Platelet count	166,066 European ancestry individuals	NA	Affymetrix [~ 2500000] (imputed)	287	platelet count	http://www.ebi.ac.uk/efo/EFO_0004309	GCST004603	Genome-wide genotyping array
2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Hematocrit	173,039 European ancestry individuals	NA	Affymetrix [~ 2500000] (imputed)	133	hematocrit	http://www.ebi.ac.uk/efo/EFO_0004348	GCST004604	Genome-wide genotyping array
2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Mean corpuscular hemoglobin concentration	172,851 European ancestry individuals	NA	Affymetrix [~ 2500000] (imputed)	84	mean corpuscular hemoglobin concentration	http://www.ebi.ac.uk/efo/EFO_0004528	GCST004605	Genome-wide genotyping array
2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Eosinophil counts	172,275 European ancestry individuals	NA	Affymetrix [~ 2500000] (imputed)	209	eosinophil count	http://www.ebi.ac.uk/efo/EFO_0004842	GCST004606	Genome-wide genotyping array
2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Plateletcrit	164,339 European ancestry individuals	NA	Affymetrix [~ 2500000] (imputed)	272	platelet crit	http://www.ebi.ac.uk/efo/EFO_0007985	GCST004607	Genome-wide genotyping array
2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Granulocyte percentage of myeloid white cells	169,545 European ancestry individuals	NA	Affymetrix [~ 2500000] (imputed)	220	granulocyte percentage of myeloid white cells	http://www.ebi.ac.uk/efo/EFO_0007997	GCST004608	Genome-wide genotyping array
2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Monocyte percentage of white cells	170,494 European ancestry individuals	NA	Affymetrix [~ 2500000] (imputed)	236	monocyte percentage of leukocytes	http://www.ebi.ac.uk/efo/EFO_0007989	GCST004609	Genome-wide genotyping array
2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	White blood cell count	172,435 European ancestry individuals	NA	Affymetrix [~ 2500000] (imputed)	180	leukocyte count	http://www.ebi.ac.uk/efo/EFO_0004308	GCST004610	Genome-wide genotyping array
2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	High light scatter reticulocyte count	170,761 European ancestry individuals	NA	Affymetrix [~ 2500000] (imputed)	219	reticulocyte count	http://www.ebi.ac.uk/efo/EFO_0007986	GCST004611	Genome-wide genotyping array
2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	High light scatter reticulocyte percentage of red cells	170,763 European ancestry individuals	NA	Affymetrix [~ 2500000] (imputed)	209	reticulocyte count	http://www.ebi.ac.uk/efo/EFO_0007986	GCST004612	Genome-wide genotyping array
2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Sum neutrophil eosinophil counts	170,384 European ancestry individuals	NA	Affymetrix [~ 2500000] (imputed)	154	sum of neutrophil and eosinophil counts	http://www.ebi.ac.uk/efo/EFO_0009390	GCST004613	Genome-wide genotyping array
2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Granulocyte count	169,822 European ancestry individuals	NA	Affymetrix [~ 2500000] (imputed)	155	granulocyte count	http://www.ebi.ac.uk/efo/EFO_0007987	GCST004614	Genome-wide genotyping array
2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Hemoglobin concentration	172,925 European ancestry individuals	NA	Affymetrix [~ 2500000] (imputed)	140	hemoglobin measurement	http://www.ebi.ac.uk/efo/EFO_0004509	GCST004615	Genome-wide genotyping array
