DATE.ADDED.TO.CATALOG	PUBMEDID	FIRST.AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE.TRAIT	INITIAL.SAMPLE.SIZE	REPLICATION.SAMPLE.SIZE	PLATFORM..SNPS.PASSING.QC.	ASSOCIATION.COUNT	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY.ACCESSION	GENOTYPING.TECHNOLOGY	path	fullpath	nsamples_arg	has_required_header	has_pvalue
2012-01-25	20686565	Teslovich TM	2010-08-05	Nature	www.ncbi.nlm.nih.gov/pubmed/20686565	Biological, clinical and population relevance of 95 loci for blood lipids.	LDL cholesterol	95,454 European ancestry individuals	NA	Affymetrix, Illumina, Perlegen [~ 2600000] (imputed)	37	low density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004611	GCST000759	Genome-wide genotyping array	./GCST000001-GCST001000/GCST000759/harmonised/20686565-GCST000759-EFO_0004611.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000759/harmonised/20686565-GCST000759-EFO_0004611.h.tsv.gz	nfe=95454	TRUE	TRUE
2012-01-25	20686565	Teslovich TM	2010-08-05	Nature	www.ncbi.nlm.nih.gov/pubmed/20686565	Biological, clinical and population relevance of 95 loci for blood lipids.	HDL cholesterol	99,900 European ancestry individuals	NA	Affymetrix, Illumina, Perlegen [~ 2600000] (imputed)	47	high density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004612	GCST000755	Genome-wide genotyping array	./GCST000001-GCST001000/GCST000755/harmonised/20686565-GCST000755-EFO_0004612.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000755/harmonised/20686565-GCST000755-EFO_0004612.h.tsv.gz	nfe=99900	TRUE	TRUE
2011-04-11	21378990	Schunkert H	2011-03-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21378990	Large-scale association analysis identifies 13 new susceptibility loci for coronary artery disease.	Coronary heart disease	22,233 European ancestry cases, 64,762 European ancestry controls	56,682 European ancestry cases and controls	Affymetrix, Illumina [~ 2300000] (imputed)	30	coronary artery disease	http://www.ebi.ac.uk/efo/EFO_0001645	GCST000998	Genome-wide genotyping array	./GCST000001-GCST001000/GCST000998/harmonised/21378990-GCST000998-EFO_0001645.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000998/harmonised/21378990-GCST000998-EFO_0001645.h.tsv.gz	nfe=86995	TRUE	TRUE
2013-03-15	23263486	Kottgen A	2012-12-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23263486	Genome-wide association analyses identify 18 new loci associated with serum urate concentrations.	Urate levels	49,825 European ancestry males, 60,522 European ancestry females	Up to 32,813 European ancestry individuals	Affymetrix, Illumina, Perlegen [2450547] (imputed)	47	urate measurement	http://www.ebi.ac.uk/efo/EFO_0004531	GCST001791	Genome-wide genotyping array	./GCST001001-GCST002000/GCST001791/harmonised/23263486-GCST001791-EFO_0004531.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001791/harmonised/23263486-GCST001791-EFO_0004531.h.tsv.gz	nfe=110347	TRUE	TRUE
2013-03-15	23263486	Kottgen A	2012-12-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23263486	Genome-wide association analyses identify 18 new loci associated with serum urate concentrations.	Gout	2,115 European ancestry cases, 67,259 European ancestry controls	1,036 European ancestry cases	Affymetrix, Illumina [2538056] (imputed)	6	gout	http://www.ebi.ac.uk/efo/EFO_0004274	GCST001790	Genome-wide genotyping array	./GCST001001-GCST002000/GCST001790/harmonised/23263486-GCST001790-EFO_0004274.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001790/harmonised/23263486-GCST001790-EFO_0004274.h.tsv.gz	nfe=69374	TRUE	TRUE
2014-04-16	24162737	Lambert JC	2013-10-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24162737	Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease.	Alzheimer's disease (late onset)	17,008 European ancestry cases, 37,154 European ancestry controls	8,572 European ancestry cases, 11,312 European ancestry controls	Illumina [7055881] (imputed)	33			GCST002245	Genome-wide genotyping array	./GCST002001-GCST003000/GCST002245/harmonised/24162737-GCST002245-EFO_0000249.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST002001-GCST003000/GCST002245/harmonised/24162737-GCST002245-EFO_0000249.h.tsv.gz	nfe=55134	TRUE	TRUE
2012-05-25	22484627	Bradfield JP	2012-04-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22484627	A genome-wide association meta-analysis identifies new childhood  obesity loci.	Obesity	5,530 European ancestry cases, 8,318 European ancestry controls	2,214 European ancestry cases, 2,674 European ancestry controls	Affymetrix, Illumina [2700000] (imputed)	5	obesity	http://www.ebi.ac.uk/efo/EFO_0001073	GCST001475	Genome-wide genotyping array	./GCST001001-GCST002000/GCST001475/harmonised/22484627-GCST001475-EFO_0001073.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001475/harmonised/22484627-GCST001475-EFO_0001073.h.tsv.gz	nfe=13848	TRUE	TRUE
2016-11-25	26833098	Kilpelainen TO	2016-02-01	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26833098	Genome-wide meta-analysis uncovers novel loci influencing circulating leptin levels.	circulating leptin levels adjusted for BMI	up to 14,094 European ancestry men, up to 19,893 European ancestry women	up to 9,076 European ancestry men, up to 9,150 European ancestry women	Affymetrix, Illumina [~ 2500000] (imputed)	9	BMI-adjusted leptin measurement	http://www.ebi.ac.uk/efo/EFO_0007793	GCST003368	Genome-wide genotyping array	./GCST003001-GCST004000/GCST003368/harmonised/26833098-GCST003368-EFO_0007793.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003368/harmonised/26833098-GCST003368-EFO_0007793.h.tsv.gz	nfe=33987	TRUE	TRUE
2016-11-25	26833098	Kilpelainen TO	2016-02-01	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26833098	Genome-wide meta-analysis uncovers novel loci influencing circulating leptin levels.	circulating leptin levels	14,586 European ancestry men, 20,706 European ancestry women	8,554 European ancestry men, 8,337 European ancestry women	Affymetrix, Illumina [~ 2500000] (imputed)	10	leptin measurement	http://www.ebi.ac.uk/efo/EFO_0005000	GCST003367	Genome-wide genotyping array	./GCST003001-GCST004000/GCST003367/harmonised/26833098-GCST003367-EFO_0005000.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003367/harmonised/26833098-GCST003367-EFO_0005000.h.tsv.gz	nfe=33987	TRUE	TRUE
2016-01-27	25673413	Locke AE	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673413	Genetic studies of body mass index yield new insights for obesity biology.	Body mass index	up to 104,666 European ancestry male individuals, up to 132,115 European ancestry female individuals, 370 African American male individuals, 517 African American female individuals, 512 Hispanic male individuals, 764 Hispanic female individuals	up to 48,274 European ancestry male individuals, up to 39,864 European ancestry female individuals, 2,441 African American or Afro-Caribbean male individuals, 6,314 African American or Afro-Caribbean female individuals, 919 Filipino male individuals, 828 Filipino female individuals, 205 Seychellois male individuals, 287 Seychellois female individuals, 2,964 South Asian ancestry male individuals, 658 South Asian ancestry female individuals	Affymetrix, Illumina [2550021]	634	body mass index	http://www.ebi.ac.uk/efo/EFO_0004340	GCST002783	Genome-wide genotyping array	./GCST002001-GCST003000/GCST002783/harmonised/25673413-GCST002783-EFO_0004340.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST002001-GCST003000/GCST002783/harmonised/25673413-GCST002783-EFO_0004340.h.tsv.gz	nfe=236781 afr=887 amr=1276	TRUE	TRUE
2016-07-24	26192919	Liu JZ	2015-07-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26192919	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	Ulcerative colitis	6,968 European ancestry cases, 20,464 European ancestry controls	10,679 European ancestry cases, 26,715 European ancestry controls, 397 Iranian ancestry cases, 342 Iranian ancestry controls, 1,239 Indian ancestry cases, 990 Indian ancestry controls, 1,134 East Asian ancestry cases, 3,719 East Asian ancestry controls	Affymetrix, Illumina [~ 9000000] (imputed)	134	ulcerative colitis	http://www.ebi.ac.uk/efo/EFO_0000729	GCST003045	Genome-wide genotyping array	./GCST003001-GCST004000/GCST003045/harmonised/26192919-GCST003045-EFO_0000729.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003045/harmonised/26192919-GCST003045-EFO_0000729.h.tsv.gz	nfe=27432	TRUE	TRUE
2016-07-24	26192919	Liu JZ	2015-07-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26192919	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	Crohn's disease	5,956 European ancestry cases, 14,927 European ancestry controls	14,594 European ancestry cases, 26,715 European ancestry controls, 151 Iranian ancestry cases, 342 Iranian ancestry controls, 184 Indian ancestry cases, 990 Indian ancestry controls, 1,690 East Asian ancestry cases, 3,719 East Asian ancestry controls	Affymetrix, Illumina [~ 9000000] (imputed)	165	Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0000384	GCST003044	Genome-wide genotyping array	./GCST003001-GCST004000/GCST003044/harmonised/26192919-GCST003044-EFO_0000384.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003044/harmonised/26192919-GCST003044-EFO_0000384.h.tsv.gz	nfe=20883	TRUE	TRUE
2016-07-24	26192919	Liu JZ	2015-07-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26192919	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	Inflammatory bowel disease	12,882 European ancestry cases, 21,770 European ancestry controls	25,273 European ancestry cases, 26,715 European ancestry controls, 548 Iranian ancestry cases, 342 Iranian ancestry control, 1,423 Indian ancestry cases, 990 Indian ancestry controls, 2,824 East Asian ancestry cases, 3,719 East Asian ancestry controls	Affymetrix, Illumina [~ 9000000] (imputed)	202	inflammatory bowel disease	http://www.ebi.ac.uk/efo/EFO_0003767	GCST003043	Genome-wide genotyping array	./GCST003001-GCST004000/GCST003043/harmonised/26192919-GCST003043-EFO_0003767.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003043/harmonised/26192919-GCST003043-EFO_0003767.h.tsv.gz	nfe=34652	TRUE	TRUE
2016-12-08	26833246	Lu Y	2016-02-01	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26833246	New loci for body fat percentage reveal link between adiposity and cardiometabolic disease risk.	Body fat percentage	Up to 31,457 European ancestry men, up to 35,030 European ancestry women, up to 8,259 Indian Asian ancestry men, up to 1,030 Indian Asian ancestry women, 973 Korean ancestry men, 1,360 Korean ancestry women, 154 African American men, 262 African American women	Up to 12,480 European ancestry men, up to 10,055 European ancestry women, 315 Jamaican ancestry men, 774 Jamaican ancestry women	Affymetrix, Illumina, Perlegen [at least 1958375] (imputed)	47	body fat percentage	http://www.ebi.ac.uk/efo/EFO_0007800	GCST003435	Genome-wide genotyping array	./GCST003001-GCST004000/GCST003435/harmonised/26833246-GCST003435-EFO_0007800.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003435/harmonised/26833246-GCST003435-EFO_0007800.h.tsv.gz	eas=2333 afr=416 nfe=65831	TRUE	TRUE
2016-12-01	26831199	Pattaro C	2016-01-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26831199	Genetic associations at 53 loci highlight cell types and biological pathways relevant for kidney function.	Glomerular filtration rate in non diabetics (creatinine)	118,448 European ancestry individuals	36,433 European ancestry individuals	Affymetrix, Illumina [~ 2500000] (imputed)	37	creatinine measurement, glomerular filtration rate	http://www.ebi.ac.uk/efo/EFO_0004518, http://www.ebi.ac.uk/efo/EFO_0005208	GCST003401	Genome-wide genotyping array	./GCST003001-GCST004000/GCST003401/harmonised/26831199-GCST003401-EFO_0004518.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003401/harmonised/26831199-GCST003401-EFO_0004518.h.tsv.gz	nfe=118448	TRUE	TRUE
2016-11-25	26831199	Pattaro C	2016-01-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26831199	Genetic associations at 53 loci highlight cell types and biological pathways relevant for kidney function.	Glomerular filtration rate in diabetics (creatinine)	11,522 European ancestry individuals	4,955 European ancestry individuals	Affymetrix, Illumina [~ 2500000] (imputed)	1	creatinine measurement, glomerular filtration rate	http://www.ebi.ac.uk/efo/EFO_0004518, http://www.ebi.ac.uk/efo/EFO_0005208	GCST003373	Genome-wide genotyping array	./GCST003001-GCST004000/GCST003373/harmonised/26831199-GCST003373-EFO_0004518.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003373/harmonised/26831199-GCST003373-EFO_0004518.h.tsv.gz	nfe=11522	TRUE	TRUE
2016-11-25	26831199	Pattaro C	2016-01-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26831199	Genetic associations at 53 loci highlight cell types and biological pathways relevant for kidney function.	Glomerular filtration rate (cystatin C)	32,834 European ancestry individuals	14,930 European ancestry individuals	Affymetrix, Illumina [~ 2500000] (imputed)	1	glomerular filtration rate, cystatin C measurement	http://www.ebi.ac.uk/efo/EFO_0005208, http://www.ebi.ac.uk/efo/EFO_0004617	GCST003375	Genome-wide genotyping array	./GCST003001-GCST004000/GCST003375/harmonised/26831199-GCST003375-EFO_0004617.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003375/harmonised/26831199-GCST003375-EFO_0004617.h.tsv.gz	nfe=32834	TRUE	TRUE
2016-11-25	26831199	Pattaro C	2016-01-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26831199	Genetic associations at 53 loci highlight cell types and biological pathways relevant for kidney function.	Chronic kidney disease	12,385 European ancestry cases, 104,780 European ancestry controls	33,972 European ancestry individuals	Affymetrix, Illumina [~ 2500000] (imputed)	10	chronic kidney disease	http://www.ebi.ac.uk/efo/EFO_0003884	GCST003374	Genome-wide genotyping array	./GCST003001-GCST004000/GCST003374/harmonised/26831199-GCST003374-EFO_0003884.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003374/harmonised/26831199-GCST003374-EFO_0003884.h.tsv.gz	nfe=117165	TRUE	TRUE
2016-11-25	26831199	Pattaro C	2016-01-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26831199	Genetic associations at 53 loci highlight cell types and biological pathways relevant for kidney function.	Glomerular filtration rate (creatinine)	133,413 European ancestry individuals	42,166 European ancestry individuals, up to 16,471 African ancestry individuals, up to 42,296 Asian ancestry individuals	Affymetrix, Illumina [~ 2500000] (imputed)	63	creatinine measurement, glomerular filtration rate	http://www.ebi.ac.uk/efo/EFO_0004518, http://www.ebi.ac.uk/efo/EFO_0005208	GCST003372	Genome-wide genotyping array	./GCST003001-GCST004000/GCST003372/harmonised/26831199-GCST003372-EFO_0004518.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003372/harmonised/26831199-GCST003372-EFO_0004518.h.tsv.gz	nfe=133413	TRUE	TRUE
2016-07-06	25993607	de Moor MH	2015-05-20	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/25993607	Meta-analysis of Genome-wide Association Studies for Neuroticism, and the Polygenic Association With Major Depressive Disorder.	Neuroticism	Up to 627 Cilento (founder/genetic isolate) individuals, up to 2,296 Erasmus Rucphen (founder/genetic isolate) individuals, up to 1,650 Orcadian (founder/genetic isolate) individuals, up to 909 Vis (founder/genetic isolate) individuals, up to 58,179 European ancestry individuals	Up to 9,786 European ancestry individuals	Affymetrix, Illumina, Perlegen [6949614] (imputed)	12	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST002920	Genome-wide genotyping array	./GCST002001-GCST003000/GCST002920/harmonised/25993607-GCST002920-EFO_0007660.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST002001-GCST003000/GCST002920/harmonised/25993607-GCST002920-EFO_0007660.h.tsv.gz	nfe=63661	TRUE	TRUE
2016-09-12	26343387	Nikpay M	2015-09-07	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26343387	A comprehensive 1,000 Genomes-based genome-wide association meta-analysis of coronary artery disease.	Coronary artery disease	42,096 European ancestry cases, 361 African American cases, 758 Hispanic American cases, 12,658 South Asian ancestry cases, 1,802 Lebanese ancestry cases, 3,614 East Asian ancestry cases, 99,121 European ancestry controls, 2,778 African American controls, 3,337 Hispanic American controls, 12,899 South Asian ancestry controls, 466 Lebanese ancestry controls, 7,709 East Asian ancestry controls	NA	Affymetrix, Illumina [8600000] (imputed)	45	coronary artery disease	http://www.ebi.ac.uk/efo/EFO_0001645	GCST003116	Genome-wide genotyping array	./GCST003001-GCST004000/GCST003116/harmonised/26343387-GCST003116-EFO_0000378.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003116/harmonised/26343387-GCST003116-EFO_0000378.h.tsv.gz	eas=11323 amr=4095 nfe=141217 afr=3139	TRUE	TRUE
2014-05-12	24097068	Willer CJ	2013-10-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24097068	Discovery and refinement of loci associated with lipid levels.	HDL cholesterol	94,595 European ancestry individuals	93,982 European ancestry individuals	NR [NR] (imputed)	71	high density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004612	GCST002223	Genome-wide genotyping array	./GCST002001-GCST003000/GCST002223/harmonised/24097068-GCST002223-EFO_0004612.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST002001-GCST003000/GCST002223/harmonised/24097068-GCST002223-EFO_0004612.h.tsv.gz	nfe=94595	TRUE	TRUE
2014-05-12	24097068	Willer CJ	2013-10-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24097068	Discovery and refinement of loci associated with lipid levels.	LDL cholesterol	94,595 European ancestry individuals	93,982 European ancestry individuals	NR [NR] (imputed)	58	low density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004611	GCST002222	Genome-wide genotyping array	./GCST002001-GCST003000/GCST002222/harmonised/24097068-GCST002222-EFO_0004611.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST002001-GCST003000/GCST002222/harmonised/24097068-GCST002222-EFO_0004611.h.tsv.gz	nfe=94595	TRUE	TRUE
2014-05-12	24097068	Willer CJ	2013-10-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24097068	Discovery and refinement of loci associated with lipid levels.	Cholesterol, total	94,595 European ancestry individuals	93,982 European ancestry individuals	NR [NR] (imputed)	73	total cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004574	GCST002221	Genome-wide genotyping array	./GCST002001-GCST003000/GCST002221/harmonised/24097068-GCST002221-EFO_0004574.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST002001-GCST003000/GCST002221/harmonised/24097068-GCST002221-EFO_0004574.h.tsv.gz	nfe=94595	TRUE	TRUE
